win,kills,deaths,assists,gold,dmg,tower,minions,barons,dragons,ttk,tik,ft,fb,vision,ltspl,dto,g_delt,xp_delt,mmr,gold_diff,xp_diff,dmg_diff,kills_diff,kda_diff,vision_score_diff
1,26,12,45,44831,77891,7,514,0.0,2.0,7.0,1.0,1.0,0.0,97,3419,25810,2068.2,1333.1999999999998,-26.0,5307,190.0999999999999,26542,14,4.878205128205129,-6
1,18,9,21,36430,34039,2,467,0.0,3.0,3.0,0.0,1.0,0.0,88,2385,29741,0.0,0.0,-10.0,8419,-1191.2,7384,9,2.8888888888888884,36
1,19,9,34,33825,34598,4,403,0.0,2.0,4.0,0.0,1.0,0.0,79,1555,17549,0.0,0.0,43.40000000000009,4666,-1447.4,1499,11,4.625730994152047,26
1,38,20,69,49021,70937,10,430,0.0,2.0,10.0,2.0,1.0,0.0,75,2722,23646,3160.6000000000004,1439.6,20.799999999999727,11853,-53.5,8713,18,4.034210526315789,2
1,32,26,50,53869,82812,9,504,1.0,1.0,9.0,1.0,1.0,1.0,121,2366,42067,2249.1,1563.9,21.800000000000182,9851,120.09999999999991,22027,6,0.7788461538461537,15
1,26,11,29,39250,45306,5,441,0.0,1.0,5.0,0.0,1.0,0.0,70,2137,26455,0.0,0.0,-108.20000000000027,13683,-1304.7,15274,15,4.0,7
1,32,29,57,62638,122013,9,678,1.0,4.0,9.0,1.0,0.0,1.0,193,3139,44630,1959.5,1335.0,-11.599999999999909,4914,-104.20000000000005,30082,4,0.7877155172413794,52
1,33,21,55,59067,84279,10,583,1.0,4.0,10.0,2.0,1.0,1.0,176,3185,63979,2063.4,1450.6,-3.0,11658,14.099999999999909,17562,12,2.5238095238095237,47
1,21,6,38,50179,61359,9,598,0.0,2.0,9.0,2.0,1.0,0.0,154,1946,32142,2096.7,1506.7,-165.19999999999982,11920,176.80000000000018,22356,15,8.928571428571429,20
1,33,20,53,54972,74048,9,535,1.0,2.0,9.0,2.0,1.0,1.0,127,2919,51720,2092.3999999999996,1621.3,-136.79999999999973,12341,306.70000000000005,12389,13,2.7545454545454544,-12
1,28,13,54,50541,64023,9,525,1.0,2.0,9.0,2.0,1.0,1.0,135,3108,50386,2417.3,1420.1,43.80000000000018,12191,55.40000000000009,8842,15,5.204244031830239,23
1,38,30,80,67853,108701,7,654,1.0,3.0,9.0,2.0,1.0,1.0,218,2225,59326,1959.8000000000002,1558.6,-19.800000000000182,10618,140.5,14541,8,1.7491228070175437,38
1,17,5,25,30422,28044,7,324,0.0,1.0,7.0,1.0,1.0,0.0,42,2289,13899,0.0,0.0,-38.399999999999636,13581,-1083.3,12571,13,7.733333333333333,19
1,49,48,88,79879,190811,11,769,0.0,1.0,11.0,3.0,0.0,0.0,242,2630,38384,2373.8999999999996,1338.1,199.4000000000001,489,-108.10000000000014,9579,1,-0.3499149659863945,-15
1,41,27,65,60748,98098,8,644,1.0,2.0,9.0,1.0,0.0,1.0,124,2824,49860,2328.6,1332.0,-48.0,4218,-227.4000000000001,21431,14,2.4137308039747065,16
1,27,10,37,39634,58438,2,407,0.0,3.0,2.0,0.0,0.0,0.0,99,2062,22512,0.0,0.0,59.19999999999982,6821,-1411.0,22211,17,5.511111111111111,-11
1,30,14,32,52238,65748,9,528,1.0,2.0,9.0,1.0,1.0,1.0,117,3706,47059,2336.6,1692.6999999999998,-108.40000000000009,12915,218.0,16390,16,3.1952380952380954,15
1,29,7,37,37694,40950,5,387,0.0,1.0,5.0,1.0,1.0,0.0,89,2838,13260,0.0,0.0,198.80000000000018,13453,-1140.5,18137,22,8.842364532019705,33
1,30,19,48,53450,66490,7,503,1.0,1.0,8.0,1.0,1.0,1.0,167,2939,35272,2093.8999999999996,1380.3999999999999,-66.59999999999991,10065,-102.30000000000018,11874,11,2.771929824561404,20
1,21,7,36,44850,52467,9,547,0.0,2.0,9.0,2.0,0.0,0.0,111,3886,32019,2164.8999999999996,1336.6,-107.79999999999973,7971,-38.299999999999955,7586,14,7.428571428571428,21
1,38,30,71,64451,99432,8,603,2.0,1.0,9.0,2.0,1.0,1.0,157,2826,53909,2086.5,1549.7999999999997,21.0,8297,-27.700000000000273,20877,8,1.5543859649122806,16
1,26,8,37,41303,52580,3,475,0.0,2.0,4.0,0.0,0.0,0.0,95,3262,12095,2268.8999999999996,1433.6000000000001,-148.39999999999964,7272,193.29999999999995,19788,18,7.221153846153846,6
1,29,12,57,54443,79103,9,579,1.0,2.0,9.0,2.0,1.0,1.0,166,3012,54209,2218.7000000000003,1346.3,70.0,11482,64.19999999999982,12521,17,6.028735632183908,36
